"MDB_ID";"MDB_Name";"MDB_Bemerkung_01";"MDB_Bemerkung_02";"MDB_Bemerkung_03";"MdbArt_ID";"MdbArt_Art";"MdbArt_Bemerkung_01";"MDB_Rechte_Soll";"Rechte_Bemerkung_01";"MDB_Pfad";"MDB_Pfad_LW"
21;"Preisbuch.mdb";"VC Preisbuch";;;1;"FE";"Frontend (Anwendung)";2;"Teamleiter";"P:/Datenbanken/Soorpark/Frontend/Preisbuch.mdb";"P:/Datenbanken/Soorpark/Frontend"
22;"SoorparkGrunddaten.mdb";"Grunddaten verwalten PSO";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/Frontend/SoorparkGrunddaten.mdb";"P:/Datenbanken/Soorpark/Frontend"
23;"Variella.mdb";"VC Elemente ERP";;;1;"FE";"Frontend (Anwendung)";1;"Standard";"P:/Datenbanken/Soorpark/Frontend/Variella.mdb";"P:/Datenbanken/Soorpark/Frontend"
24;"VariellaAngebot.mdb";"VC Angeot";;;1;"FE";"Frontend (Anwendung)";2;"Teamleiter";"P:/Datenbanken/Soorpark/Frontend/VariellaAngebot.mdb";"P:/Datenbanken/Soorpark/Frontend"
25;"VariellaGrunddaten.mdb";"VC Grunddaten verwalten";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/Frontend/VariellaGrunddaten.mdb";"P:/Datenbanken/Soorpark/Frontend"
26;"Variella-Betrieb.mdb";"VC Elemente ERP (Kopie für Standart MA)";"Temp";;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/Frontend/Variella-Betrieb.mdb";"P:/Datenbanken/Soorpark/Frontend"
27;"DispositionKD.mdb";"KD Aufträge aus Baan";"Test";;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/Test/DispositionKD.mdb";"P:/Datenbanken/Soorpark/Test"
28;"AngebotTabellen.mdb";"VC Angebot erstellen";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/AngebotTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
29;"AusbildungTabellen.mdb";"Ausbildungsübersicht";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/AusbildungTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
30;"BenutzerTabellen.mdb";;"Temp";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/BenutzerTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
