"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel";"Warenempfänger_String"
"9403.9090";"Möbelteile aus Holz";"310003895";"310003895-20";20;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;3.00;3.00;30.57;1.00;"Euro";19;"PUM";"200";;;1;5;"3100038956388000 0001";"Konsole";"90";"Neutrale Artikel";"310003895";"6388000 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.6000";"Holzmöbel";"310003895";"310003895-21";21;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;22.00;22.00;436.89;1.00;"Euro";19;"PUM";"200";"I004      ";1.00;1;9;"3100038956322200 0001";"Unterschrank VitaArt 750 mm";"63";"Vita";"310003895";"6322200 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.9090";"Möbelteile aus Holz";"310003899";"310003899-10";10;"Pfeiffer&May Stuttgart Gmbh +Co.KG";"H00001118";"Filsallee";"5";"DE";"73207";"Plochingen";;05.10.2011 00:00:00;05.10.2011 00:00:00;12.00;12.00;191.82;1.00;"Euro";19;"PUM";"200";"K23       ";1.00;1;9;"3100038996310000 0001";"63Waschtischplatte KH 1340mm";"63";"Vita";"310003899";"6310000 0001";"Pfeiffer&May Stuttgart KG, Filsallee 5, DE-73207 Plochingen"
"9403.9090";"Möbelteile aus Holz";"310003899";"310003899-11";11;"Pfeiffer&May Stuttgart Gmbh +Co.KG";"H00001118";"Filsallee";"5";"DE";"73207";"Plochingen";;05.10.2011 00:00:00;05.10.2011 00:00:00;3.00;3.00;30.57;1.00;"Euro";19;"PUM";"200";;;1;5;"3100038996388000 0001";"Konsole";"90";"Neutrale Artikel";"310003899";"6388000 0001";"Pfeiffer&May Stuttgart KG, Filsallee 5, DE-73207 Plochingen"
"9403.6000";"Holzmöbel";"310003899";"310003899-12";12;"Pfeiffer&May Stuttgart Gmbh +Co.KG";"H00001118";"Filsallee";"5";"DE";"73207";"Plochingen";;05.10.2011 00:00:00;05.10.2011 00:00:00;21.00;21.00;390.61;1.00;"Euro";19;"PUM";"200";"B25       ";1.00;1;9;"3100038996322100 0001";"Unterschrank VitaArt 600 mm";"63";"Vita";"310003899";"6322100 0001";"Pfeiffer&May Stuttgart KG, Filsallee 5, DE-73207 Plochingen"
"9403.9090";"Möbelteile aus Holz";"310003900";"310003900-10";10;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;16.00;16.00;253.47;1.00;"Euro";19;"PUM";"200";"K22       ";1.00;1;9;"3100039006310000 0001";"63Waschtischplatte KH 1600mm";"63";"Vita";"310003900";"6310000 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.9090";"Möbelteile aus Holz";"310003900";"310003900-11";11;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;3.00;9.00;91.71;3.00;"Euro";19;"PUM";"200";;;1;5;"3100039006388000 0001";"Konsole";"90";"Neutrale Artikel";"310003900";"6388000 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.9090";"Möbelteile aus Holz";"310003908";"310003908-10";10;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;14.00;14.00;347.09;1.00;"Euro";19;"PUM";"200";"A15       ";1.00;1;9;"3100039086310000 0001";"63Waschtischplatte KH 1500mm";"63";"Vita";"310003908";"6310000 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.6000";"Holzmöbel";"310003908";"310003908-11";11;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;22.00;44.00;1048.70;2.00;"Euro";19;"PUM";"200";"H003      ";2.00;1;9;"3100039086322200 0001";"Unterschrank VitaArt 750 mm";"63";"Vita";"310003908";"6322200 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"7009.9190";"Glasspiegel";"310003908";"310003908-12";12;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;35.00;35.00;655.54;1.00;"Euro";19;"PUM";"200";"F22       ";1.00;1;9;"3100039086342300 0001";"Spiegelschrank VitaArt  1500mm";"63";"Vita";"310003908";"6342300 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.6000";"Holzmöbel";"310003908";"310003908-13";13;"Pfeiffer&May Mannheim KG";"H00001116";"Langlachweg";"20";"DE";"68229";"Mannheim- Friedrichsfeld";"DE-5279739               ";05.10.2011 00:00:00;05.10.2011 00:00:00;30.00;30.00;408.44;1.00;"Euro";19;"PUM";"200";"A15       ";1.00;1;9;"3100039086330202 0001";"Seitenelement VitaArt 450mm";"63";"Vita";"310003908";"6330202 0001";"Pfeiffer&May Mannheim KG, Langlachweg 20, DE-68229 Mannheim- Friedrichsfeld"
"9403.9090";"Möbelteile aus Holz";"310003909";"310003909-10";10;"PFEIFFER & MAY Karlsruhe GmbH";"H00001087";"Unterweingartenfeld";"2";"DE";"76135";"Karlsruhe";"DE-2358204               ";05.10.2011 00:00:00;05.10.2011 00:00:00;12.00;12.00;175.77;1.00;"Euro";19;"PUM";"200";"K24       ";1.00;1;9;"3100039096310000 0001";"63Waschtischplatte KH 1200mm";"63";"Vita";"310003909";"6310000 0001";"PFEIFFER & MAY Karlsruhe GmbH, Unterweingartenfeld 2, DE-76135 Karlsruhe"
"9403.9090";"Möbelteile aus Holz";"310003909";"310003909-11";11;"PFEIFFER & MAY Karlsruhe GmbH";"H00001087";"Unterweingartenfeld";"2";"DE";"76135";"Karlsruhe";"DE-2358204               ";05.10.2011 00:00:00;05.10.2011 00:00:00;3.00;3.00;30.57;1.00;"Euro";19;"PUM";"200";;;1;5;"3100039096388000 0001";"Konsole";"90";"Neutrale Artikel";"310003909";"6388000 0001";"PFEIFFER & MAY Karlsruhe GmbH, Unterweingartenfeld 2, DE-76135 Karlsruhe"
"9403.6000";"Holzmöbel";"310003909";"310003909-12";12;"PFEIFFER & MAY Karlsruhe GmbH";"H00001087";"Unterweingartenfeld";"2";"DE";"76135";"Karlsruhe";"DE-2358204               ";05.10.2011 00:00:00;05.10.2011 00:00:00;20.00;20.00;273.00;1.00;"Euro";19;"PUM";"200";"D008      ";1.00;1;9;"3100039096320500 0001";"Unterschrank VitaArt 450 mm";"63";"Vita";"310003909";"6320500 0001";"PFEIFFER & MAY Karlsruhe GmbH, Unterweingartenfeld 2, DE-76135 Karlsruhe"
"6910.9000";"Waschbecken Keramik";"310003911";"310003911-10";10;"Pfeiffer&May Dillingen KG";"H00001114";"Dieselstrasse";"3 a";"DE";"66763";"Dillingen";"DE-7317824               ";05.10.2011 00:00:00;05.10.2011 00:00:00;30.00;30.00;651.30;1.00;"Euro";19;"PUM";"200";"A000      ";1.00;1;10;"3100039116301200 0001";"63 Glaswaschtisch 1200mm";"63";"Vita";"310003911";"6301200 0001";"Pfeiffer & May Dillingen KG, Dieselstrasse 3 a, DE-66763 Dillingen"
"9403.6000";"Holzmöbel";"310003911";"310003911-11";11;"Pfeiffer&May Dillingen KG";"H00001114";"Dieselstrasse";"3 a";"DE";"66763";"Dillingen";"DE-7317824               ";05.10.2011 00:00:00;05.10.2011 00:00:00;43.00;43.00;944.68;1.00;"Euro";19;"PUM";"200";"W010      ";1.00;1;9;"3100039116324500 0001";"Unterschrank VitaArt 1200mm";"63";"Vita";"310003911";"6324500 0001";"Pfeiffer & May Dillingen KG, Dieselstrasse 3 a, DE-66763 Dillingen"
"9403.6000";"Holzmöbel";"310003911";"310003911-20";20;"Pfeiffer&May Dillingen KG";"H00001114";"Dieselstrasse";"3 a";"DE";"66763";"Dillingen";"DE-7317824               ";05.10.2011 00:00:00;05.10.2011 00:00:00;30.00;30.00;408.44;1.00;"Euro";19;"PUM";"200";;;1;5;"3100039116330101 0001";"Seitenelement VitaArt 450mm";"63";"Vita";"310003911";"6330101 0001";"Pfeiffer & May Dillingen KG, Dieselstrasse 3 a, DE-66763 Dillingen"
"9403.6000";"Holzmöbel";"310003911";"310003911-21";21;"Pfeiffer&May Dillingen KG";"H00001114";"Dieselstrasse";"3 a";"DE";"66763";"Dillingen";"DE-7317824               ";05.10.2011 00:00:00;05.10.2011 00:00:00;26.00;26.00;400.37;1.00;"Euro";19;"PUM";"200";"H001      ";1.00;1;9;"3100039116323000 0001";"Rollboy VitaArt 450mm";"63";"Vita";"310003911";"6323000 0001";"Pfeiffer & May Dillingen KG, Dieselstrasse 3 a, DE-66763 Dillingen"
"6910.9000";"Waschbecken Keramik";"310003913";"310003913-10";10;"PFEIFFER & MAY Karlsruhe GmbH";"H00001087";"Unterweingartenfeld";"2";"DE";"76135";"Karlsruhe";"DE-2358204               ";05.10.2011 00:00:00;05.10.2011 00:00:00;24.00;24.00;400.37;1.00;"Euro";19;"PUM";"200";"K33       ";1.00;1;10;"3100039136300300 0001";"63Mineralgusswaschtisch 1200mm";"63";"Vita";"310003913";"6300300 0001";"PFEIFFER & MAY Karlsruhe GmbH, Unterweingartenfeld 2, DE-76135 Karlsruhe"
"9403.6000";"Holzmöbel";"310003913";"310003913-11";11;"PFEIFFER & MAY Karlsruhe GmbH";"H00001087";"Unterweingartenfeld";"2";"DE";"76135";"Karlsruhe";"DE-2358204               ";05.10.2011 00:00:00;05.10.2011 00:00:00;35.00;35.00;620.73;1.00;"Euro";19;"PUM";"200";"G007      ";1.00;1;9;"3100039136325500 0001";"Unterschrank VitaArt 1200mm";"63";"Vita";"310003913";"6325500 0001";"PFEIFFER & MAY Karlsruhe GmbH, Unterweingartenfeld 2, DE-76135 Karlsruhe"
"9403.9090";"Möbelteile aus Holz";"310003916";"310003916-10";10;"Link VS- Schwenningen KG";"H00001096";"Lichtensteinerstr.";"18-32";"DE";"78056";"VS-Schwenningen";"DE-6090915               ";05.10.2011 00:00:00;05.10.2011 00:00:00;16.00;16.00;360.89;1.00;"Euro";19;"PUM";"200";"K31       ";1.00;1;9;"3100039166310000 0001";"63Waschtischplatte KH 1600mm";"63";"Vita";"310003916";"6310000 0001";"Link VS- Schwenningen KG, Lichtensteinerstr. 18-32, DE-78056 VS-Schwenningen"
"9403.9090";"Möbelteile aus Holz";"310003916";"310003916-20";20;"Link VS- Schwenningen KG";"H00001096";"Lichtensteinerstr.";"18-32";"DE";"78056";"VS-Schwenningen";"DE-6090915               ";05.10.2011 00:00:00;05.10.2011 00:00:00;3.00;9.00;91.71;3.00;"Euro";19;"PUM";"200";;;1;5;"3100039166388000 0001";"Konsole";"90";"Neutrale Artikel";"310003916";"6388000 0001";"Link VS- Schwenningen KG, Lichtensteinerstr. 18-32, DE-78056 VS-Schwenningen"
"7009.9190";"Glasspiegel";"310003918";"310003918-10";10;"Link VS- Schwenningen KG";"H00001096";"Lichtensteinerstr.";"18-32";"DE";"78056";"VS-Schwenningen";"DE-6090915               ";12.10.2011 00:00:00;12.10.2011 00:00:00;29.00;29.00;517.13;1.00;"Euro";19;"PUM";"200";;;1;0;"3100039186341600 0001";"Spiegelschrank VitaArt  1050mm";"63";"Vita";"310003918";"6341600 0001";"Link VS- Schwenningen KG, Lichtensteinerstr. 18-32, DE-78056 VS-Schwenningen"
"9403.9090";"Möbelteile aus Holz";"310003919";"310003919-10";10;"Link KG Rastatt";"H00001117";"Donaustrasse";"11";"DE";"76437";"Rastatt";"DE-7157975               ";19.10.2011 00:00:00;19.10.2011 00:00:00;8.00;8.00;159.22;1.00;"Euro";19;"PUM";"200";;;1;0;"SP00101726310000 0001";"63Waschtischplatte KH 915 mm";"63";"Vita";"SP0010172";"6310000 0001";"Link KG, Donaustrasse 11, DE-76437 Rastatt"
"9403.9090";"Möbelteile aus Holz";"310003919";"310003919-11";11;"Link KG Rastatt";"H00001117";"Donaustrasse";"11";"DE";"76437";"Rastatt";"DE-7157975               ";19.10.2011 00:00:00;19.10.2011 00:00:00;3.00;6.00;93.80;2.00;"Euro";19;"PUM";"200";;;1;5;"SP00101726388000 0001";"Konsole";"90";"Neutrale Artikel";"SP0010172";"6388000 0001";"Link KG, Donaustrasse 11, DE-76437 Rastatt"
"9403.6000";"Holzmöbel";"310003920";"310003920-10";10;"Löffelhardt Heilbronn";"H00001169";"Hauptstrasse";"58";"DE";"74360";"Ilsfeld";"DE-7342055               ";19.10.2011 00:00:00;19.10.2011 00:00:00;30.00;30.00;427.33;1.00;"Euro";19;"PUM";"200";;;1;0;"SP00101736335101 0001";"Seitenelement VitaArt 450mm";"63";"Vita";"SP0010173";"6335101 0001";"Löffelhardt Heilbronn GmbH, Hauptstrasse 58, DE-74360 Ilsfeld"
"9403.9090";"Möbelteile aus Holz";"310003921";"310003921-10";10;"Pfeiffer&May Weingarten GmbH+Co.KG";"H00001112";"Herknerstrasse";"14";"DE";"88250";"Weingarten";"DE-5772869               ";12.10.2011 00:00:00;12.10.2011 00:00:00;14.00;14.00;245.19;1.00;"Euro";19;"PUM";"200";;;1;5;"3100039216310000 0001";"63Waschtischplatte KH 1500mm";"63";"Vita";"310003921";"6310000 0001";"Pfeiffer&May Weingarten GmbH+Co.KG, Herknerstrasse 14, DE-88250 Weingarten"
"9403.9090";"Möbelteile aus Holz";"310003921";"310003921-11";11;"Pfeiffer&May Weingarten GmbH+Co.KG";"H00001112";"Herknerstrasse";"14";"DE";"88250";"Weingarten";"DE-5772869               ";12.10.2011 00:00:00;12.10.2011 00:00:00;3.00;6.00;61.14;2.00;"Euro";19;"PUM";"200";;;1;5;"3100039216388000 0001";"Konsole";"90";"Neutrale Artikel";"310003921";"6388000 0001";"Pfeiffer&May Weingarten GmbH+Co.KG, Herknerstrasse 14, DE-88250 Weingarten"
"6910.9000";"Waschbecken Keramik";"310003921";"310003921-12";12;"Pfeiffer&May Weingarten GmbH+Co.KG";"H00001112";"Herknerstrasse";"14";"DE";"88250";"Weingarten";"DE-5772869               ";12.10.2011 00:00:00;12.10.2011 00:00:00;24.00;24.00;374.90;1.00;"Euro";19;"PUM";"200";;;1;5;"3100039216300200 0002";"63Mineralgusswaschtisch 1200mm";"63";"Vita";"310003921";"6300200 0002";"Pfeiffer&May Weingarten GmbH+Co.KG, Herknerstrasse 14, DE-88250 Weingarten"
"9403.6000";"Holzmöbel";"310003921";"310003921-13";13;"Pfeiffer&May Weingarten GmbH+Co.KG";"H00001112";"Herknerstrasse";"14";"DE";"88250";"Weingarten";"DE-5772869               ";12.10.2011 00:00:00;12.10.2011 00:00:00;35.00;35.00;608.84;1.00;"Euro";19;"PUM";"200";;;1;0;"3100039216325500 0001";"Unterschrank VitaArt 1200mm";"63";"Vita";"310003921";"6325500 0001";"Pfeiffer&May Weingarten GmbH+Co.KG, Herknerstrasse 14, DE-88250 Weingarten"
