"VK-Auftrag";"VK-Position";"VK";"Lieferadresse";"KundeName";"Tour";"MengeTotal";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"ArtikelGruppe_ID";"ArtikelgruppeBezeichnung";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"Wechselkurs";"Produktionsauftrag";"ZollPosition_Nr";"ZollPosition_Bezeichnung"
"300012129";11;"300012129-11";"Richter + Frenzel GmbH + CO. KG, Donaustrasse 125, DE-90451 Nürnberg";"Richter + Frenzel Nürnberg";"R&F";1.00;"3000121295940800 0001                          ";"Spiegelschrank MyStyle 1350mm";"59";"MyStyle / cubito";330;"Spiegelschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;40.00;40.00;660.55;0.76;;"9403.6000";"Holzmöbel"
"300012130";10;"300012130-10";"Richter + Frenzel Gmbh + Co. KG, Heisenbergstrasse 40, DE-50169 Kerpen- Türnich";"Richter + Frenzel Kerpen-Türnich";"R&F";1.00;"         003570                                ";"Möbelgriff eloxiert 820x42x20";"998";"Einkaufsteile/Ersatzteile";110;"Griffe";19.08.2011 00:00:00;25.08.2011 00:00:00;0.00;0.00;30.18;0.76;;;
"300012131";10;"300012131-10";"Richter + Frenzel GmbH + CO. KG, Carl-Jordan-Str. 10, DE-83059 Kolbermoor";"Richter + Frenzel Kolbermoor";"R&F";1.00;"3000121315920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
"300012132";10;"300012132-10";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";2.00;"3000121325920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";09.09.2011 00:00:00;16.09.2011 00:00:00;26.00;52.00;847.46;0.76;;"9403.6000";"Holzmöbel"
"300012133";10;"300012133-10";"Richter + Frenzel GmbH + Co.KG, Gobietstr. 5, DE-34123 Kassel";"Richter + Frenzel Kassel";"R&F";1.00;"3000121335920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
"300012134";10;"300012134-10";"Richter + Frenzel GmbH + Co.KG, August-Horch-Str. 22, DE-08141 Reinsdorf b. Zwickau";"Richter + Frenzel Reinsdorf-Zwickau";"R&F";1.00;"3000121345920100 0001                          ";"Unterschrank MyStyle 410 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;12.00;12.00;225.52;0.76;;"9403.6000";"Holzmöbel"
"300012135";10;"300012135-10";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121355920500 0001                          ";"Unterschrank MyStyle 790 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;31.00;31.00;382.30;0.76;;"9403.6000";"Holzmöbel"
"300012135";11;"300012135-11";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121355931101 0001                          ";"Seitenschrank MyStyle 410mm";"59";"MyStyle / cubito";370;"Seitenschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;30.00;30.00;306.97;0.76;;"9403.6000";"Holzmöbel"
"300012135";20;"300012135-20";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121355920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
"300012135";21;"300012135-21";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121355920500 0002                          ";"Unterschrank MyStyle 790 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;31.00;31.00;382.30;0.76;;"9403.6000";"Holzmöbel"
"300012135";22;"300012135-22";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121355931101 0002                          ";"Seitenschrank MyStyle 410mm";"59";"MyStyle / cubito";370;"Seitenschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;30.00;30.00;306.97;0.76;;"9403.6000";"Holzmöbel"
"300012135";30;"300012135-30";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121355920400 0002                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
"300012136";10;"300012136-10";"Richter + Frenzel GmbH + CO. KG, Donaustrasse 125, DE-90451 Nürnberg";"Richter + Frenzel Nürnberg";"R&F";1.00;"3000121365920100 0001                          ";"Unterschrank MyStyle 410 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;12.00;12.00;225.52;0.76;;"9403.6000";"Holzmöbel"
