"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel"
"9403.6000";"Holzmöbel";"300012307";"300012307-11";11;"Richter + Frenzel Passau";"H00000351";"Emil-Richter-Str.";"1";"DE";"94036";"Passau";"DE-4949692               ";29.09.2011 00:00:00;29.09.2011 00:00:00;24.00;24.00;680.79;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099306022300 0001";"Unterschrank Nara 900 mm";"60";"Nara";"SP0009930";"6022300 0001"
"9403.6000";"Holzmöbel";"300012313";"300012313-10";10;"Richter + Frenzel Leipzig-Radefeld";"H00000358";"Milanstr.";"3";"DE";"04435";"Schkeuditz";"DE-4949692               ";04.10.2011 00:00:00;06.10.2011 00:00:00;0.00;0.00;358.29;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099629227100 0001";"UB Renova Nr.1 /Modul X 920 mm";"92";"Renova Nr.1 Plan / Modul X";"SP0009962";"9227100 0001"
"9403.6000";"Holzmöbel";"300012313";"300012313-20";20;"Richter + Frenzel Leipzig-Radefeld";"H00000358";"Milanstr.";"3";"DE";"04435";"Schkeuditz";"DE-4949692               ";04.10.2011 00:00:00;30.09.2011 00:00:00;32.00;32.00;570.62;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099625940700 0002";"Spiegelschrank MyStyle 1000mm";"59";"MyStyle / cubito";"SP0009962";"5940700 0002"
"9403.9090";"Möbelteile aus Holz";"300012328";"300012328-10";10;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;12.00;12.00;268.36;1.00;"Euro";19;"R&F";"200";;;1;5;"3000123287704600 0001";"ABF Kunstharz neo.2 1500mm";"77";"neo.2";"300012328";"7704600 0001"
"9403.6000";"Holzmöbel";"300012328";"300012328-11";11;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;32.00;32.00;554.85;1.00;"Euro";19;"R&F";"200";;;1;0;"3000123287724600 0001";"Unterbau neo.2 1500mm";"77";"neo.2";"300012328";"7724600 0001"
"9403.6000";"Holzmöbel";"300012328";"300012328-12";12;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;38.00;38.00;337.57;1.00;"Euro";19;"R&F";"200";;;1;0;"3000123287730701 0001";"Seitenschrank neo.2 450 mm";"77";"neo.2";"300012328";"7730701 0001"
"7009.9190";"Glasspiegel";"300012328";"300012328-20";20;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;38.00;38.00;682.68;1.00;"Euro";19;"R&F";"200";;;1;5;"3000123287763500 0001";"Lichtspiegel neo.2 1500mm";"77";"neo.2";"300012328";"7763500 0001"
"9403.6000";"Holzmöbel";"300012328";"300012328-30";30;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;47.00;47.00;339.93;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00099587732501 0001";"Seitenschrank neo.2 450 mm";"77";"neo.2";"SP0009958";"7732501 0001"
"9403.6000";"Holzmöbel";"300012328";"300012328-31";31;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;47.00;47.00;339.93;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00099587732602 0001";"Seitenschrank neo.2 450 mm";"77";"neo.2";"SP0009958";"7732602 0001"
"9403.6000";"Holzmöbel";"300012388";"300012388-10";10;"Richter + Frenzel Würzburg";"H00000236";"Leitenäckerweg";"6";"DE";"97084";"Würzburg";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;26.40;26.40;478.41;1.00;"Euro";19;"R&F";"200";"B31       ";1.00;1;9;"SP00099396523000 0001";"Unterbau Vero 780  mm";"65";"Vero";"SP0009939";"6523000 0001"
"9403.6000";"Holzmöbel";"300012388";"300012388-11";11;"Richter + Frenzel Würzburg";"H00000236";"Leitenäckerweg";"6";"DE";"97084";"Würzburg";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;31.50;31.50;280.97;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099396530202 0001";"Seitenschrank Vero 430mm";"65";"Vero";"SP0009939";"6530202 0001"
"9403.6000";"Holzmöbel";"300012420";"300012420-10";10;"Richter + Frenzel Giessen";"H00000355";"Gottlieb-Daimler-Str.";"8";"DE";"35398";"Giessen";"DE-4949692               ";30.09.2011 00:00:00;23.09.2011 00:00:00;35.50;35.50;377.59;1.00;"Euro";19;"R&F";"200";"F004      ";1.00;1;9;"3000124208420400 0001";"Unterbau MyStar 960 mm";"84";"MyStar";"300012420";"8420400 0001"
